Demand ID,Project ID,Short Description,Portfolio,State,Priority,Planned Cost ($),Actual Cost ($),Business Value,Risk Score,Start Date,End Date
DMN5000,PRJ1000,Implementation of Security Layer Phase 3,Digital Transformation,Draft,3 - Moderate,221015,118996,Operational,5,2024-01-01,2024-03-27
DMN5001,PRJ1001,Implementation of ERP Sync Phase 3,Digital Transformation,Completed,3 - Moderate,269153,97394,Operational,10,2024-01-02,2024-05-15
DMN5002,PRJ1002,Implementation of ERP Sync Phase 1,Cloud Migration,Completed,4 - Low,134715,320418,Compliance,3,2024-01-04,2024-05-26
DMN5003,PRJ1003,Implementation of AI Chatbot Phase 3,HR Excellence,Submitted,2 - High,451787,439781,Operational,6,2024-01-05,2024-04-07
DMN5004,PRJ1004,Implementation of Security Layer Phase 3,Customer Experience,Qualified,2 - High,163981,137212,Strategic,9,2024-01-10,2024-03-05
DMN5005,PRJ1005,Implementation of Security Layer Phase 2,Customer Experience,Completed,4 - Low,271516,237294,Strategic,1,2024-01-14,2024-04-01
DMN5006,PRJ1006,Implementation of Mobile Portal Phase 3,Digital Transformation,Qualified,4 - Low,64092,133653,Operational,7,2024-01-18,2024-04-08
DMN5007,PRJ1007,Implementation of Security Layer Phase 3,HR Excellence,Submitted,2 - High,402938,117370,Compliance,7,2024-01-21,2024-03-27
DMN5008,PRJ1008,Implementation of AI Chatbot Phase 3,Customer Experience,Qualified,4 - Low,210609,206147,Strategic,10,2024-01-23,2024-05-25
DMN5009,PRJ1009,Implementation of ERP Sync Phase 1,Cloud Migration,Draft,2 - High,268704,82474,Operational,8,2024-01-27,2024-04-03
DMN5010,PRJ1010,Implementation of Security Layer Phase 3,Digital Transformation,Submitted,2 - High,81938,245189,Strategic,9,2024-02-01,2024-03-18
DMN5011,PRJ1011,Implementation of ERP Sync Phase 1,Digital Transformation,Qualified,1 - Critical,356549,190847,Strategic,4,2024-02-03,2024-07-29
DMN5012,PRJ1012,Implementation of AI Chatbot Phase 3,Digital Transformation,Draft,4 - Low,156645,382831,Compliance,5,2024-02-05,2024-04-19
DMN5013,PRJ1013,Implementation of ERP Sync Phase 2,HR Excellence,Submitted,3 - Moderate,237992,140684,Compliance,5,2024-02-08,2024-04-30
DMN5014,PRJ1014,Implementation of ERP Sync Phase 1,Customer Experience,Approved,4 - Low,77123,300208,Compliance,1,2024-02-11,2024-07-19
DMN5015,PRJ1015,Implementation of Security Layer Phase 1,HR Excellence,Screening,4 - Low,466804,304038,Strategic,9,2024-02-16,2024-07-10
DMN5016,PRJ1016,Implementation of Security Layer Phase 3,Digital Transformation,Approved,3 - Moderate,170321,308222,Compliance,7,2024-02-20,2024-03-31
DMN5017,PRJ1017,Implementation of Mobile Portal Phase 1,HR Excellence,Draft,1 - Critical,365265,360997,Compliance,8,2024-02-21,2024-08-02
DMN5018,PRJ1018,Implementation of AI Chatbot Phase 2,Digital Transformation,Submitted,2 - High,474851,171565,Strategic,2,2024-02-26,2024-05-24
DMN5019,PRJ1019,Implementation of ERP Sync Phase 2,Cloud Migration,Screening,4 - Low,331844,67858,Operational,1,2024-02-27,2024-04-09
DMN5020,PRJ1020,Implementation of Mobile Portal Phase 2,Cloud Migration,Approved,4 - Low,362015,198589,Compliance,7,2024-02-28,2024-04-22
DMN5021,PRJ1021,Implementation of AI Chatbot Phase 2,Digital Transformation,Approved,4 - Low,426429,389643,Strategic,10,2024-03-01,2024-06-10
DMN5022,PRJ1022,Implementation of Security Layer Phase 3,Cloud Migration,Approved,1 - Critical,258835,277440,Operational,9,2024-03-02,2024-07-12
DMN5023,PRJ1023,Implementation of AI Chatbot Phase 1,Cloud Migration,Submitted,4 - Low,221772,204539,Strategic,4,2024-03-03,2024-04-29
DMN5024,PRJ1024,Implementation of Mobile Portal Phase 3,HR Excellence,Approved,4 - Low,321688,218213,Compliance,1,2024-03-08,2024-04-07
DMN5025,PRJ1025,Implementation of ERP Sync Phase 3,Cloud Migration,Submitted,3 - Moderate,320574,194122,Operational,3,2024-03-13,2024-08-06
DMN5026,PRJ1026,Implementation of Security Layer Phase 2,Customer Experience,Completed,2 - High,197112,258795,Strategic,9,2024-03-14,2024-05-23
DMN5027,PRJ1027,Implementation of ERP Sync Phase 3,Customer Experience,Draft,2 - High,224769,100104,Operational,6,2024-03-18,2024-08-08
DMN5028,PRJ1028,Implementation of Security Layer Phase 3,Digital Transformation,Submitted,4 - Low,70703,212082,Strategic,2,2024-03-23,2024-06-03
DMN5029,PRJ1029,Implementation of Mobile Portal Phase 2,Cloud Migration,Approved,3 - Moderate,398453,278460,Strategic,7,2024-03-27,2024-06-19
DMN5030,PRJ1030,Implementation of AI Chatbot Phase 1,Cloud Migration,Screening,4 - Low,460493,249906,Operational,5,2024-03-30,2024-05-22
DMN5031,PRJ1031,Implementation of Mobile Portal Phase 1,HR Excellence,Completed,2 - High,429861,150848,Operational,10,2024-03-31,2024-08-20
DMN5032,PRJ1032,Implementation of AI Chatbot Phase 2,Cloud Migration,Draft,1 - Critical,99529,207904,Operational,9,2024-04-03,2024-08-28
DMN5033,PRJ1033,Implementation of Security Layer Phase 1,Customer Experience,Draft,2 - High,446782,45335,Compliance,1,2024-04-07,2024-06-21
DMN5034,PRJ1034,Implementation of Mobile Portal Phase 2,Customer Experience,Completed,4 - Low,266998,96586,Strategic,5,2024-04-10,2024-08-22
DMN5035,PRJ1035,Implementation of Mobile Portal Phase 2,Cloud Migration,Submitted,2 - High,90130,167678,Compliance,9,2024-04-11,2024-06-02
DMN5036,PRJ1036,Implementation of ERP Sync Phase 2,HR Excellence,Qualified,2 - High,181425,283339,Compliance,10,2024-04-12,2024-06-18
DMN5037,PRJ1037,Implementation of ERP Sync Phase 2,Customer Experience,Screening,4 - Low,196558,254388,Operational,8,2024-04-17,2024-08-17
DMN5038,PRJ1038,Implementation of AI Chatbot Phase 2,HR Excellence,Submitted,4 - Low,237686,203173,Compliance,10,2024-04-18,2024-09-22
DMN5039,PRJ1039,Implementation of Mobile Portal Phase 2,Customer Experience,Screening,2 - High,256009,80817,Strategic,9,2024-04-20,2024-10-04
DMN5040,PRJ1040,Implementation of Security Layer Phase 3,Digital Transformation,Qualified,2 - High,129447,295531,Compliance,7,2024-04-23,2024-06-19
DMN5041,PRJ1041,Implementation of Mobile Portal Phase 2,Customer Experience,Approved,1 - Critical,454297,402213,Operational,1,2024-04-26,2024-09-22
DMN5042,PRJ1042,Implementation of ERP Sync Phase 1,HR Excellence,Draft,3 - Moderate,153200,188180,Operational,1,2024-04-27,2024-10-13
DMN5043,PRJ1043,Implementation of Mobile Portal Phase 3,Customer Experience,Submitted,1 - Critical,265500,289266,Strategic,7,2024-05-02,2024-09-09
DMN5044,PRJ1044,Implementation of Security Layer Phase 1,Cloud Migration,Draft,2 - High,95873,424655,Compliance,9,2024-05-05,2024-09-17
DMN5045,PRJ1045,Implementation of Mobile Portal Phase 3,Digital Transformation,Submitted,1 - Critical,383872,304351,Compliance,1,2024-05-06,2024-07-12
DMN5046,PRJ1046,Implementation of Mobile Portal Phase 1,HR Excellence,Screening,1 - Critical,326072,352204,Operational,2,2024-05-11,2024-07-19
DMN5047,PRJ1047,Implementation of AI Chatbot Phase 1,Customer Experience,Submitted,3 - Moderate,266955,410947,Strategic,1,2024-05-13,2024-06-15
DMN5048,PRJ1048,Implementation of AI Chatbot Phase 1,Digital Transformation,Draft,4 - Low,114124,262186,Operational,5,2024-05-18,2024-06-23
DMN5049,PRJ1049,Implementation of ERP Sync Phase 3,Digital Transformation,Approved,3 - Moderate,277336,99361,Operational,8,2024-05-21,2024-09-24
